county,year,type,pct,ballots,final,confidence,verdict,tier,cohort,asv_year,base_type_matched,base_calendar,flags
orange-ca,2018,midterm,58.79,650671,1106729,primary,CONFIRMED,1,2020,,,,
orange-ca,2022,midterm,61.46,611060,994277,primary,CONFIRMED,1,2020,,2018,2018,
orange-ca,2024,presidential,71.06,1007150,1417397,primary,CONFIRMED,1,2020,,2016,2018,
placer-ca,2014,midterm,66.10,76411,115547,primary,CONFIRMED,1,2024,,,,
placer-ca,2016,presidential,57.55,109666,190550,primary,CONFIRMED,1,2024,,,,
riverside-ca,2012,presidential,72.67,486627,669627,secondary,CONFIRMED,2,2022,2025,,,
riverside-ca,2014,midterm,74.01,264764,357764,secondary,CONFIRMED,2,2022,2025,,,
riverside-ca,2016,presidential,65.94,507193,769193,secondary,CONFIRMED,2,2022,2025,,,
riverside-ca,2018,midterm,46.12,300000,650545,secondary,CONFIRMED,2,2022,2025,,,
riverside-ca,2022,midterm,34.00,205813,604617,primary,CONFIRMED,1,2022,2025,2018,2018,
sacramento-ca,2012,presidential,62.93,328516,522045,primary,PLAUSIBLE,2,2018,,,,
sacramento-ca,2014,midterm,59.04,195317,330817,primary,CONFIRMED,1,2018,,,,
sacramento-ca,2018,midterm,35.52,185623,522652,primary,CONFIRMED,1,2018,,2014,2014,
sacramento-ca,2022,midterm,29.94,145015,484315,primary,CONFIRMED,1,2018,,2014,2014,
sacramento-ca,2024,presidential,46.65,311821,668416,primary,CONFIRMED,1,2018,,2012,2014,long_gap_type;long_gap_calendar
san-bernardino-ca,2024,presidential,56.24,434108,771834,primary,CONFIRMED,1,2020,2025,,,
san-diego-ca,2012,presidential,60.52,728265,1203265,secondary,CONFIRMED,2,2022,2024,,,
san-diego-ca,2014,midterm,73.54,509214,692434,secondary,CONFIRMED,2,2022,2024,,,
san-diego-ca,2018,midterm,45.72,536734,1173924,primary,CONFIRMED,1,2022,2024,,,
san-diego-ca,2022,midterm,54.24,565982,1043490,primary,CONFIRMED,1,2022,2024,2018,2018,
san-diego-ca,2024,presidential,64.89,975373,1503018,primary,CONFIRMED,1,2022,2024,2012,2018,long_gap_type
san-francisco-ca,2012,presidential,71.40,260521,364875,primary,NONE_SF_HOME_DATASET,1,never,,,,
san-francisco-ca,2014,midterm,70.30,162543,231214,primary,NONE_SF_HOME_DATASET,1,never,,,,
san-francisco-ca,2016,presidential,66.10,274003,414528,primary,NONE_SF_HOME_DATASET,1,never,,,,
san-francisco-ca,2018,midterm,59.30,221099,372848,primary,NONE_SF_HOME_DATASET,1,never,,,,
san-francisco-ca,2022,midterm,51.00,158136,310071,primary,NONE_SF_HOME_DATASET,1,never,,,,
san-francisco-ca,2024,presidential,56.90,234559,412231,primary,NONE_SF_HOME_DATASET,1,never,,,,
san-luis-obispo-ca,2012,presidential,77.64,98458,126818,primary,CONFIRMED,1,never,,,,
san-luis-obispo-ca,2014,midterm,72.04,63180,87705,primary,CONFIRMED,1,never,,,,
san-luis-obispo-ca,2016,presidential,68.41,95560,139685,primary,CONFIRMED,1,never,,,,
san-luis-obispo-ca,2018,midterm,63.62,81663,128353,primary,CONFIRMED,1,never,,,,
san-luis-obispo-ca,2022,midterm,47.95,58096,121156,primary,CONFIRMED,1,never,,,,
san-luis-obispo-ca,2024,presidential,53.80,82548,153432,primary,CONFIRMED,1,never,,,,
san-mateo-ca,2012,presidential,70.79,204287,288592,primary,CONFIRMED,1,2018,,,,
san-mateo-ca,2014,midterm,68.46,112592,164453,primary,CONFIRMED,1,2018,,,,
san-mateo-ca,2016,presidential,63.67,205855,323303,primary,CONFIRMED,1,2018,,,,
san-mateo-ca,2018,midterm,38.49,111637,290058,primary,CONFIRMED,1,2018,,2014,2016,
san-mateo-ca,2022,midterm,48.42,122135,252233,primary,CONFIRMED,1,2018,,2014,2016,
san-mateo-ca,2024,presidential,63.28,213421,337241,primary,CONFIRMED,1,2018,,2016,2016,
santa-clara-ca,2012,presidential,67.10,438348,653239,primary,CONFIRMED,1,2020,,,,
santa-clara-ca,2022,midterm,53.24,293148,550602,primary,CONFIRMED,1,2020,,2012,2012,fallback_type;long_gap_type;long_gap_calendar
santa-clara-ca,2024,presidential,60.13,460325,765495,primary,REFUTED_AND_CORRECTED,1,2020,,2012,2012,long_gap_type;long_gap_calendar
ventura-ca,2012,presidential,77.76,256927,330419,primary,CONFIRMED,1,2022,,,,
ventura-ca,2014,midterm,75.30,153442,203783,primary,CONFIRMED,1,2022,,,,
ventura-ca,2016,presidential,71.09,258250,363285,primary,CONFIRMED,1,2022,,,,
ventura-ca,2018,midterm,64.13,201298,313871,primary,CONFIRMED,1,2022,,,,
ventura-ca,2022,midterm,54.11,153682,284013,primary,CONFIRMED,1,2022,,2018,2018,
ventura-ca,2024,presidential,67.79,267226,394197,primary,CONFIRMED,1,2022,,2016,2018,
